MDDS DTC,DISTRICT NAME,MDDS STC
0.0,HIMACHAL PRADESH,2.0
23.0,Chamba,2.0
24.0,Kangra,2.0
25.0,Lahul & Spiti,2.0
26.0,Kullu,2.0
27.0,Mandi,2.0
28.0,Hamirpur,2.0
29.0,Una,2.0
30.0,Bilaspur,2.0
31.0,Solan,2.0
32.0,Sirmaur,2.0
33.0,Shimla,2.0
34.0,Kinnaur,2.0
0.0,PUNJAB,3.0
35.0,Gurdaspur,3.0
36.0,Kapurthala ,3.0
37.0,Jalandhar,3.0
38.0,Hoshiarpur,3.0
39.0,Shahid Bhagat Singh Nagar ,3.0
40.0,Fatehgarh Sahib,3.0
41.0,Ludhiana,3.0
42.0,Moga,3.0
43.0,Firozpur,3.0
44.0,Muktsar,3.0
45.0,Faridkot,3.0
46.0,Bathinda,3.0
47.0,Mansa,3.0
48.0,Patiala,3.0
49.0,Amritsar ,3.0
50.0,Tarn Taran,3.0
51.0,Rupnagar,3.0
52.0,Sahibzada Ajit Singh Nagar,3.0
53.0,Sangrur,3.0
54.0,Barnala,3.0
0.0,HARYANA,6.0
69.0,Panchkula,6.0
70.0,Ambala,6.0
71.0,Yamunanagar,6.0
72.0,Kurukshetra,6.0
73.0,Kaithal,6.0
74.0,Karnal,6.0
75.0,Panipat,6.0
76.0,Sonipat,6.0
77.0,Jind,6.0
78.0,Fatehabad,6.0
79.0,Sirsa,6.0
80.0,Hisar,6.0
81.0,Bhiwani,6.0
82.0,Rohtak,6.0
83.0,Jhajjar,6.0
84.0,Mahendragarh,6.0
85.0,Rewari,6.0
86.0,Gurgaon,6.0
87.0,Mewat ,6.0
88.0,Faridabad,6.0
89.0,Palwal ,6.0
0.0,RAJASTHAN,8.0
99.0,Ganganagar ,8.0
100.0,Hanumangarh,8.0
101.0,Bikaner,8.0
102.0,Churu,8.0
103.0,Jhunjhunun,8.0
104.0,Alwar,8.0
105.0,Bharatpur,8.0
106.0,Dhaulpur,8.0
107.0,Karauli,8.0
108.0,Sawai Madhopur,8.0
109.0,Dausa,8.0
110.0,Jaipur,8.0
111.0,Sikar,8.0
112.0,Nagaur,8.0
113.0,Jodhpur,8.0
114.0,Jaisalmer,8.0
115.0,Barmer,8.0
116.0,Jalor,8.0
117.0,Sirohi,8.0
118.0,Pali,8.0
119.0,Ajmer,8.0
120.0,Tonk,8.0
121.0,Bundi,8.0
122.0,Bhilwara,8.0
123.0,Rajsamand,8.0
124.0,Dungarpur,8.0
125.0,Banswara,8.0
126.0,Chittaurgarh,8.0
127.0,Kota,8.0
128.0,Baran,8.0
129.0,Jhalawar,8.0
130.0,Udaipur,8.0
131.0,Pratapgarh,8.0
0.0,UTTAR PRADESH,9.0
132.0,Saharanpur,9.0
133.0,Muzaffarnagar,9.0
134.0,Bijnor,9.0
135.0,Moradabad,9.0
136.0,Rampur,9.0
137.0,Jyotiba Phule Nagar,9.0
138.0,Meerut,9.0
139.0,Baghpat,9.0
140.0,Ghaziabad,9.0
141.0,Gautam Buddha Nagar,9.0
142.0,Bulandshahr ,9.0
143.0,Aligarh,9.0
144.0,Mahamaya Nagar,9.0
145.0,Mathura,9.0
146.0,Agra,9.0
147.0,Firozabad,9.0
148.0,Mainpuri,9.0
149.0,Budaun,9.0
150.0,Bareilly,9.0
151.0,Pilibhit,9.0
152.0,Shahjahanpur,9.0
153.0,Kheri,9.0
154.0,Sitapur,9.0
155.0,Hardoi,9.0
156.0,Unnao,9.0
157.0,Lucknow,9.0
158.0,Rae Bareli,9.0
159.0,Farrukhabad,9.0
160.0,Kannauj,9.0
161.0,Etawah,9.0
162.0,Auraiya,9.0
163.0,Kanpur Dehat,9.0
164.0,Kanpur Nagar,9.0
165.0,Jalaun ,9.0
166.0,Jhansi,9.0
167.0,Lalitpur,9.0
168.0,Hamirpur,9.0
169.0,Mahoba,9.0
170.0,Banda,9.0
171.0,Chitrakoot,9.0
172.0,Fatehpur,9.0
173.0,Pratapgarh,9.0
174.0,Kaushambi,9.0
175.0,Allahabad ,9.0
176.0,Bara Banki,9.0
177.0,Faizabad,9.0
178.0,Ambedkar Nagar,9.0
179.0,Sultanpur,9.0
180.0,Bahraich,9.0
181.0,Shrawasti,9.0
182.0,Balrampur,9.0
183.0,Gonda,9.0
184.0,Siddharthnagar,9.0
185.0,Basti,9.0
186.0,Sant Kabir Nagar,9.0
187.0,Mahrajganj,9.0
188.0,Gorakhpur,9.0
189.0,Kushinagar,9.0
190.0,Deoria,9.0
191.0,Azamgarh,9.0
192.0,Mau,9.0
193.0,Ballia,9.0
194.0,Jaunpur,9.0
195.0,Ghazipur,9.0
196.0,Chandauli,9.0
197.0,Varanasi,9.0
198.0,Sant Ravidas Nagar (Bhadohi),9.0
199.0,Mirzapur,9.0
200.0,Sonbhadra,9.0
201.0,Etah,9.0
202.0,Kanshiram Nagar,9.0
0.0,BIHAR,10.0
203.0,Pashchim Champaran,10.0
204.0,Purba Champaran,10.0
205.0,Sheohar,10.0
206.0,Sitamarhi,10.0
207.0,Madhubani,10.0
208.0,Supaul,10.0
209.0,Araria,10.0
210.0,Kishanganj,10.0
211.0,Purnia,10.0
212.0,Katihar,10.0
213.0,Madhepura,10.0
214.0,Saharsa,10.0
215.0,Darbhanga,10.0
216.0,Muzaffarpur,10.0
217.0,Gopalganj,10.0
218.0,Siwan,10.0
219.0,Saran,10.0
220.0,Vaishali,10.0
221.0,Samastipur,10.0
222.0,Begusarai,10.0
223.0,Khagaria,10.0
224.0,Bhagalpur,10.0
225.0,Banka,10.0
226.0,Munger,10.0
227.0,Lakhisarai,10.0
228.0,Sheikhpura,10.0
229.0,Nalanda,10.0
230.0,Patna,10.0
231.0,Bhojpur,10.0
232.0,Buxar,10.0
233.0,Kaimur (Bhabua),10.0
234.0,Rohtas,10.0
235.0,Aurangabad,10.0
236.0,Gaya,10.0
237.0,Nawada,10.0
238.0,Jamui,10.0
239.0,Jehanabad ,10.0
240.0,Arwal,10.0
0.0,SIKKIM,11.0
241.0,North  District,11.0
242.0,West District,11.0
243.0,South District,11.0
244.0,East District,11.0
0.0,ARUNACHAL PRADESH,12.0
245.0,Tawang,12.0
246.0,West Kameng,12.0
247.0,East Kameng,12.0
248.0,Papum Pare,12.0
249.0,Upper Subansiri,12.0
250.0,West Siang,12.0
251.0,East Siang,12.0
252.0,Upper Siang,12.0
253.0,Changlang,12.0
254.0,Tirap,12.0
255.0,Lower Subansiri,12.0
256.0,Kurung Kumey,12.0
257.0,Dibang Valley,12.0
258.0,Lower Dibang Valley,12.0
259.0,Lohit,12.0
260.0,Anjaw,12.0
0.0,NAGALAND,13.0
261.0,Mon,13.0
262.0,Mokokchung,13.0
263.0,Zunheboto,13.0
264.0,Wokha,13.0
265.0,Dimapur ,13.0
266.0,Phek,13.0
267.0,Tuensang,13.0
268.0,Longleng,13.0
269.0,Kiphire,13.0
270.0,Kohima,13.0
271.0,Peren,13.0
0.0,MIZORAM,15.0
281.0,Mamit,15.0
282.0,Kolasib,15.0
283.0,Aizawl,15.0
284.0,Champhai,15.0
285.0,Serchhip,15.0
286.0,Lunglei,15.0
287.0,Lawngtlai,15.0
288.0,Saiha,15.0
0.0,TRIPURA,16.0
289.0,West Tripura ,16.0
